"invoice_number";"created";"edited";"edited_by";"invoice_comment";"invoice_date";"invoice_title";"status";"sub_total";"sub_total_with_vat";"total";"business_team_id";"customer_id"
1;"2023-12-21 12:16:43";"2023-12-21 12:17:33";"";"Hope you are happy with ur stuff";"2023-12-21 01:00:00";"Invoice";"PAID";1700.0;2125.0;1700.0;12345321;1
2;"2023-12-21 12:17:40";"2023-12-21 12:18:15";"";"Thanks for your purchase";"2023-05-31 02:00:00";"Invoice";"PAID";21456.0;26820.0;21456.0;12345321;1
3;"2023-12-21 12:18:39";"2023-12-21 12:19:45";"";"";"2023-12-21 01:00:00";"Invoice";"OVERDUE";639.6;799.5;639.6;12345321;2
4;"2023-12-21 12:19:53";"2023-12-21 12:26:38";"";"";"2023-07-12 02:00:00";"Invoice";"OVERPAID";239.85;299.8125;239.85;12345321;3
6;"2023-12-21 12:23:02";"2023-12-21 12:26:39";"";"Drinks for the squad";"2023-12-21 01:00:00";"Invoice";"PAID";21456.0;26820.0;21456.0;12345321;4
7;"2023-12-21 12:26:55";"2023-12-21 12:27:26";"";"Macbook for new employee";"2023-09-12 02:00:00";"Invoice";"PAID";11999.0;14998.75;11999.0;12345321;2
8;"2023-12-21 12:27:39";"2023-12-21 12:28:07";"";"New equipment";"2023-02-16 01:00:00";"Invoice";"PAID";23998.0;29997.5;23998.0;12345321;1
9;"2023-12-21 12:30:08";"2023-12-21 12:30:33";"";"";"2023-12-28 01:00:00";"Invoice";"CONFIRMED";21456.0;26820.0;21456.0;12345321;1
10;"2023-12-21 12:30:42";"2023-12-21 12:30:57";"";"";"2023-12-21 01:00:00";"Invoice";"CANCELLED";1900.0;2375.0;1900.0;12345321;3
12;"2023-12-21 12:31:41";"2023-12-21 12:32:28";"";"";"2022-12-21 01:00:00";"Invoice";"PAID";21456.0;26820.0;21456.0;12345321;1
13;"2023-12-21 12:32:31";"2023-12-21 12:33:00";"";"";"2022-11-21 01:00:00";"Invoice";"PAID";3000.0;3750.0;3000.0;12345321;3
14;"2023-12-21 12:33:23";"2023-12-21 12:33:44";"";"";"2022-10-21 02:00:00";"Invoice";"PAID";380.0;475.0;380.0;12345321;1
15;"2023-12-21 12:33:46";"2023-12-21 12:34:04";"";"";"2022-09-21 02:00:00";"Invoice";"PAID";11999.0;14998.75;11999.0;12345321;3
16;"2023-12-21 12:34:06";"2023-12-21 12:34:23";"";"";"2022-08-17 02:00:00";"Invoice";"PAID";23998.0;29997.5;23998.0;12345321;2
17;"2023-12-21 12:34:40";"2023-12-21 12:35:02";"";"";"2022-07-14 02:00:00";"Invoice";"PAID";319.8;399.75;319.8;12345321;3
18;"2023-12-21 12:35:03";"2023-12-21 12:35:47";"";"";"2022-06-07 02:00:00";"Invoice";"PAID";12238.85;15298.5625;12238.85;12345321;4
