"id";"quantity";"discount";"price_incl_discount";"price_excl_vat";"unit";"invoice_id";"product_id"
1;5.0;0.0;750.0;150.0;"Hours";1;1
2;50.0;0.0;950.0;19.0;"Hours";1;2
3;1.0;0.0;21456.0;21456.0;"Hours";2;3
4;40.0;0.0;639.6;15.99;"Hours";3;4
5;15.0;0.0;239.85;15.99;"Hours";4;4
6;1.0;0.0;21456.0;21456.0;"Hours";6;3
7;1.0;0.0;11999.0;11999.0;"Hours";7;5
8;2.0;0.0;23998.0;11999.0;"Hours";8;5
9;1.0;0.0;21456.0;21456.0;"Hours";9;3
10;100.0;0.0;1900.0;19.0;"Hours";10;2
11;1.0;0.0;21456.0;21456.0;"Hours";12;3
12;20.0;0.0;3000.0;150.0;"Hours";13;1
13;20.0;0.0;380.0;19.0;"Hours";14;2
14;1.0;0.0;11999.0;11999.0;"Hours";15;5
15;2.0;0.0;23998.0;11999.0;"Hours";16;5
16;20.0;0.0;319.8;15.99;"Hours";17;4
17;1.0;0.0;11999.0;11999.0;"Hours";18;5
18;15.0;0.0;239.85;15.99;"Hours";18;4
19;25.0;0.0;3750.0;150.0;"Hours";19;1
20;50.0;0.0;950.0;19.0;"Hours";19;2
21;1.0;0.0;21456.0;21456.0;"Hours";20;3
22;20.0;0.0;319.8;15.99;"Hours";21;4
23;5.0;0.0;79.95;15.99;"Hours";22;4
24;1.0;0.0;15.99;15.99;"Hours";23;4
25;1.0;0.0;21456.0;21456.0;"Hours";24;3
26;1.0;0.0;11999.0;11999.0;"Hours";25;5
27;1.0;0.0;11999.0;11999.0;"Hours";26;5
28;1.0;0.0;21456.0;21456.0;"Hours";27;3
29;2.0;0.0;23998.0;11999.0;"Hours";28;5
30;10.0;0.0;1500.0;150.0;"Hours";29;1
31;1.0;0.0;21456.0;21456.0;"Hours";30;3
32;15.0;0.0;285.0;19.0;"Hours";31;2
33;20.0;0.0;3000.0;150.0;"Hours";31;1
34;10.0;0.0;159.9;15.99;"Hours";31;4
35;1.0;0.0;11999.0;11999.0;"Hours";32;5
36;1.0;0.0;11999.0;11999.0;"Hours";34;5
37;1.0;0.0;21456.0;21456.0;"Hours";36;3
38;1.0;0.0;11999.0;11999.0;"Hours";37;5
39;1.0;0.0;21456.0;21456.0;"Hours";38;3
40;20.0;0.0;3000.0;150.0;"Hours";38;1
41;15.0;0.0;285.0;19.0;"Hours";38;2
42;40.0;0.0;760.0;19.0;"Hours";39;2
43;20.0;0.0;3000.0;150.0;"Hours";39;1
44;20.0;0.0;319.8;15.99;"Hours";39;4
45;1.0;0.0;19.0;19.0;"Hours";40;2
46;1.0;0.0;19.0;19.0;"Hours";41;2
47;1.0;0.0;15.99;15.99;"Hours";42;4
48;1.0;0.0;21456.0;21456.0;"Hours";43;3
49;3.0;0.0;35997.0;11999.0;"Hours";44;5
50;50.0;0.0;799.5;15.99;"Hours";45;4
51;100.0;0.0;1900.0;19.0;"Hours";45;2
52;20.0;0.0;3000.0;150.0;"Hours";45;1
53;13.0;0.0;1950.0;150.0;"Hours";46;1
54;50.0;0.0;950.0;19.0;"Hours";46;2
55;1.0;0.0;11999.0;11999.0;"Hours";46;5
56;100.0;0.0;1599.0;15.99;"Hours";46;4
57;1.0;0.0;150.0;150.0;"Hours";47;1
58;1.0;0.0;19.0;19.0;"Hours";48;2
59;1.0;0.0;19.0;19.0;"Hours";49;2
60;1.0;0.0;15.99;15.99;"Hours";49;4
61;2.0;0.0;23998.0;11999.0;"Hours";50;5
62;1.0;0.0;11999.0;11999.0;"Hours";51;5
63;1.0;0.0;11999.0;11999.0;"Hours";52;5
64;1.0;0.0;21456.0;21456.0;"Hours";53;3
65;3.0;0.0;35997.0;11999.0;"Hours";54;5
66;1.0;0.0;19.0;19.0;"Hours";55;2
67;1.0;0.0;150.0;150.0;"Hours";56;1
68;1.0;0.0;19.0;19.0;"Hours";56;2
69;100.0;0.0;1599.0;15.99;"Hours";57;4
70;40.0;0.0;6000.0;150.0;"Hours";57;1
71;20.0;0.0;380.0;19.0;"Hours";57;2
72;1.0;0.0;21456.0;21456.0;"Hours";58;3
73;1.0;0.0;21456.0;21456.0;"Hours";59;3
74;1.0;0.0;150.0;150.0;"Hours";60;1
75;1.0;0.0;19.0;19.0;"Hours";60;2
76;1.0;0.0;15.99;15.99;"Hours";60;4
77;1.0;0.0;21456.0;21456.0;"Hours";61;3
78;1.0;0.0;21456.0;21456.0;"Hours";62;3
79;1.0;0.0;15.99;15.99;"Hours";63;4
80;1.0;0.0;19.0;19.0;"Hours";63;2
81;1.0;0.0;150.0;150.0;"Hours";63;1
82;1.0;0.0;11999.0;11999.0;"Hours";64;5
83;1.0;0.0;21456.0;21456.0;"Hours";65;3
84;1.0;0.0;11999.0;11999.0;"Hours";66;5
85;1.0;0.0;15.99;15.99;"Hours";67;4
86;1.0;0.0;21456.0;21456.0;"Hours";68;3
